date,sales
2019-01-01,71.09
2019-01-02,15754.5
2019-01-03,11172.455
2019-01-04,10143.209
2019-01-05,13734.94501
2019-01-06,16229.26
2019-01-07,9647.739
2019-01-08,8269.916
2019-01-09,7817.085
2019-01-10,7350.518
2019-01-11,8098.952
2019-01-12,11571.687
2019-01-13,14710.75803
2019-01-14,8669.634
2019-01-15,8709.62299
2019-01-16,8708.053004
2019-01-17,7954.462004
2019-01-18,8433.41
2019-01-19,12823.791009999999
2019-01-20,14488.681
2019-01-21,9188.35098
2019-01-22,7910.383
2019-01-23,7840.609
2019-01-24,7438.385
2019-01-25,8409.391
2019-01-26,12596.615
2019-01-27,13759.782
2019-01-28,9047.142
2019-01-29,7794.07801
2019-01-30,7721.62998
2019-01-31,8151.108
2019-02-01,10498.301
2019-02-02,14902.296
2019-02-03,14900.052
2019-02-04,10239.78901
2019-02-05,9341.83202
2019-02-06,8654.142
2019-02-07,8220.53301
2019-02-08,9627.113
2019-02-09,12258.346
2019-02-10,9121.193
2019-02-11,8548.876006
2019-02-12,9745.057
2019-02-13,9255.086
2019-02-14,8286.059
2019-02-15,9078.757
2019-02-16,14379.10798
2019-02-17,12373.622004
2019-02-18,10392.68601
2019-02-19,8315.74899
2019-02-20,8713.453
2019-02-21,8158.234
2019-02-22,8218.844
2019-02-23,12281.886989999999
2019-02-24,14303.829
2019-02-25,9355.790004
2019-02-26,7939.966996
2019-02-27,7872.948
2019-02-28,8785.882
2019-03-01,10891.14802
2019-03-02,15992.10701
2019-03-03,17358.384000000002
2019-03-04,11730.717
2019-03-05,9374.95
2019-03-06,9027.87099
2019-03-07,8819.298
2019-03-08,8609.267
2019-03-09,13512.501
2019-03-10,14659.255000000001
2019-03-11,9886.70702
2019-03-12,8036.6630000000005
2019-03-13,8083.562
2019-03-14,7461.858
2019-03-15,8957.02
2019-03-16,13833.242
2019-03-17,15852.167
2019-03-18,9986.784
2019-03-19,8466.103004
2019-03-20,8034.601
2019-03-21,7491.505
2019-03-22,7947.226
2019-03-23,12928.36403
2019-03-24,13606.59197
2019-03-25,8720.502
2019-03-26,7164.40799
2019-03-27,7207.61999
2019-03-28,8118.287004
2019-03-29,8455.535
2019-03-30,12877.178
2019-03-31,14166.029999999999
2019-04-01,12558.66697
2019-04-02,10432.91
2019-04-03,9751.01799
2019-04-04,8514.446996
2019-04-05,9438.98
2019-04-06,14187.958
2019-04-07,15941.52
2019-04-08,10111.33002
2019-04-09,8530.881004
2019-04-10,8192.36199
2019-04-11,8043.862
2019-04-12,8531.25098
2019-04-13,12908.271
2019-04-14,14594.74498
2019-04-15,10137.304
2019-04-16,9404.714
2019-04-17,8763.861996
2019-04-18,8194.984996
2019-04-19,9017.997
2019-04-20,13356.20703
2019-04-21,15573.164999999999
2019-04-22,10232.786
2019-04-23,8877.497
2019-04-24,8551.534
2019-04-25,7924.317
2019-04-26,8601.293
2019-04-27,12832.29801
2019-04-28,14489.697
2019-04-29,9441.506
2019-04-30,9026.345
2019-05-01,14765.52
2019-05-02,9985.768
2019-05-03,10587.423999999999
2019-05-04,15583.73799
2019-05-05,18570.216
2019-05-06,11213.929006
2019-05-07,9297.07302
2019-05-08,9029.38601
2019-05-09,9330.701
2019-05-10,9370.728
2019-05-11,15549.113
2019-05-12,13128.647
2019-05-13,10702.027004
2019-05-14,9227.842
2019-05-15,9137.955
2019-05-16,9076.021
2019-05-17,9447.398
2019-05-18,13717.32
2019-05-19,16139.012
2019-05-20,10331.089
2019-05-21,8700.007
2019-05-22,8354.463
2019-05-23,8802.085
2019-05-24,11823.31
2019-05-25,12726.752004
2019-05-26,14744.73
2019-05-27,9634.511
2019-05-28,9191.980996
2019-05-29,8907.076996
2019-05-30,10555.491
2019-05-31,9662.051
2019-06-01,15925.672999999999
2019-06-02,19767.044
2019-06-03,12977.681
2019-06-04,10215.541
2019-06-05,9753.515
2019-06-06,8879.507
2019-06-07,10282.15302
2019-06-08,13438.231
2019-06-09,16043.841
2019-06-10,10281.263
2019-06-11,7999.815
2019-06-12,8474.554
2019-06-13,8170.816004
2019-06-14,9538.624
2019-06-15,14531.958999999999
2019-06-16,13981.574
2019-06-17,10874.892
2019-06-18,9037.38399
2019-06-19,8401.205
2019-06-20,8613.922
2019-06-21,9034.804
2019-06-22,12270.249
2019-06-23,15255.190999999999
2019-06-24,10035.782996
2019-06-25,8688.644
2019-06-26,7959.445
2019-06-27,7715.65699
2019-06-28,8746.28301
2019-06-29,13569.130000000001
2019-06-30,15445.797
2019-07-01,11804.08502
2019-07-02,10096.21001
2019-07-03,9131.835
2019-07-04,8579.093
2019-07-05,9123.468
2019-07-06,12386.45998
2019-07-07,14032.287989999999
2019-07-08,9820.542
2019-07-09,8164.72699
2019-07-10,7682.852996
2019-07-11,7350.88101
2019-07-12,8036.3279999999995
2019-07-13,10970.03698
2019-07-14,11872.681
2019-07-15,9697.514
2019-07-16,8591.902
2019-07-17,8246.469996
2019-07-18,7205.31298
2019-07-19,7943.322
2019-07-20,11335.786996
2019-07-21,12001.705
2019-07-22,8972.57799
2019-07-23,8350.03501
2019-07-24,7657.386
2019-07-25,8149.532
2019-07-26,8597.276996
2019-07-27,11431.14299
2019-07-28,13022.222
2019-07-29,9571.404
