date,sales
2019-01-01,2.0
2019-01-02,207.0
2019-01-03,125.0
2019-01-04,133.0
2019-01-05,191.0
2019-01-06,265.0
2019-01-07,124.0
2019-01-08,116.0
2019-01-09,104.0
2019-01-10,96.0
2019-01-11,95.0
2019-01-12,165.0
2019-01-13,228.0
2019-01-14,89.0
2019-01-15,110.0
2019-01-16,139.0
2019-01-17,116.0
2019-01-18,89.0
2019-01-19,166.0
2019-01-20,216.0
2019-01-21,123.0
2019-01-22,106.0
2019-01-23,86.0
2019-01-24,76.0
2019-01-25,92.0
2019-01-26,167.0
2019-01-27,181.0
2019-01-28,113.0
2019-01-29,90.0
2019-01-30,95.0
2019-01-31,114.0
2019-02-01,146.0
2019-02-02,239.0
2019-02-03,246.0
2019-02-04,150.0
2019-02-05,132.0
2019-02-06,132.0
2019-02-07,108.0
2019-02-08,141.0
2019-02-09,177.0
2019-02-10,111.0
2019-02-11,115.0
2019-02-12,134.0
2019-02-13,107.0
2019-02-14,80.0
2019-02-15,104.0
2019-02-16,217.0
2019-02-17,175.0
2019-02-18,111.0
2019-02-19,104.0
2019-02-20,118.0
2019-02-21,96.0
2019-02-22,90.0
2019-02-23,141.0
2019-02-24,192.0
2019-02-25,112.0
2019-02-26,83.0
2019-02-27,82.0
2019-02-28,104.0
2019-03-01,125.0
2019-03-02,209.0
2019-03-03,238.0
2019-03-04,127.0
2019-03-05,94.0
2019-03-06,88.0
2019-03-07,100.0
2019-03-08,89.0
2019-03-09,171.0
2019-03-10,208.0
2019-03-11,92.0
2019-03-12,111.0
2019-03-13,95.0
2019-03-14,100.0
2019-03-15,80.0
2019-03-16,168.0
2019-03-17,192.0
2019-03-18,109.0
2019-03-19,85.0
2019-03-20,101.0
2019-03-21,78.0
2019-03-22,73.0
2019-03-23,132.0
2019-03-24,162.0
2019-03-25,111.0
2019-03-26,83.0
2019-03-27,96.0
2019-03-28,96.0
2019-03-29,137.0
2019-03-30,158.0
2019-03-31,193.0
2019-04-01,141.0
2019-04-02,118.0
2019-04-03,89.0
2019-04-04,92.0
2019-04-05,87.0
2019-04-06,182.0
2019-04-07,196.0
2019-04-08,120.0
2019-04-09,105.0
2019-04-10,105.0
2019-04-11,98.0
2019-04-12,102.0
2019-04-13,161.0
2019-04-14,187.0
2019-04-15,105.0
2019-04-16,116.0
2019-04-17,90.0
2019-04-18,68.0
2019-04-19,70.0
2019-04-20,190.0
2019-04-21,199.0
2019-04-22,104.0
2019-04-23,107.0
2019-04-24,101.0
2019-04-25,91.0
2019-04-26,87.0
2019-04-27,153.0
2019-04-28,202.0
2019-04-29,105.0
2019-04-30,99.0
2019-05-01,207.0
2019-05-02,119.0
2019-05-03,125.0
2019-05-04,199.0
2019-05-05,214.0
2019-05-06,122.0
2019-05-07,108.0
2019-05-08,110.0
2019-05-09,100.0
2019-05-10,86.0
2019-05-11,178.0
2019-05-12,132.0
2019-05-13,104.0
2019-05-14,83.0
2019-05-15,116.0
2019-05-16,80.0
2019-05-17,99.0
2019-05-18,142.0
2019-05-19,169.0
2019-05-20,100.0
2019-05-21,84.0
2019-05-22,104.0
2019-05-23,105.0
2019-05-24,123.0
2019-05-25,153.0
2019-05-26,160.0
2019-05-27,81.0
2019-05-28,66.0
2019-05-29,75.0
2019-05-30,75.0
2019-05-31,97.0
2019-06-01,182.0
2019-06-02,233.0
2019-06-03,147.0
2019-06-04,126.0
2019-06-05,85.0
2019-06-06,105.0
2019-06-07,98.0
2019-06-08,146.0
2019-06-09,197.0
2019-06-10,121.0
2019-06-11,65.0
2019-06-12,106.0
2019-06-13,75.0
2019-06-14,91.0
2019-06-15,172.0
2019-06-16,143.0
2019-06-17,120.0
2019-06-18,94.0
2019-06-19,110.0
2019-06-20,88.0
2019-06-21,84.0
2019-06-22,138.0
2019-06-23,205.0
2019-06-24,104.0
2019-06-25,98.0
2019-06-26,111.0
2019-06-27,73.0
2019-06-28,94.0
2019-06-29,202.0
2019-06-30,229.0
2019-07-01,167.0
2019-07-02,121.0
2019-07-03,130.0
2019-07-04,104.0
2019-07-05,132.0
2019-07-06,226.0
2019-07-07,269.0
2019-07-08,143.0
2019-07-09,124.0
2019-07-10,132.0
2019-07-11,105.0
2019-07-12,130.0
2019-07-13,217.0
2019-07-14,238.0
2019-07-15,135.0
2019-07-16,144.0
2019-07-17,154.0
2019-07-18,125.0
2019-07-19,130.0
2019-07-20,200.0
2019-07-21,195.0
2019-07-22,144.0
2019-07-23,148.0
2019-07-24,127.0
2019-07-25,143.0
2019-07-26,119.0
2019-07-27,174.0
2019-07-28,213.0
2019-07-29,122.0
2019-07-30,133.0
2019-07-31,136.0
2019-08-01,202.0
2019-08-02,141.0
2019-08-03,214.0
2019-08-04,252.0
2019-08-05,157.0
2019-08-06,146.0
2019-08-07,121.0
2019-08-08,119.0
2019-08-09,126.0
2019-08-10,165.0
2019-08-11,238.0
2019-08-12,143.0
2019-08-13,171.0
2019-08-14,124.0
2019-08-15,126.0
2019-08-16,163.0
2019-08-17,196.0
2019-08-18,223.0
2019-08-19,173.0
2019-08-20,134.0
2019-08-21,136.0
2019-08-22,96.0
2019-08-23,118.0
2019-08-24,156.0
2019-08-25,182.0
2019-08-26,112.0
2019-08-27,99.0
2019-08-28,105.0
2019-08-29,74.0
2019-08-30,112.0
2019-08-31,196.0
2019-09-01,272.0
2019-09-02,152.0
2019-09-03,141.0
2019-09-04,91.0
2019-09-05,79.0
2019-09-06,82.0
2019-09-07,159.0
2019-09-08,202.0
2019-09-09,110.0
2019-09-10,82.0
2019-09-11,74.0
2019-09-12,106.0
2019-09-13,87.0
2019-09-14,136.0
2019-09-15,192.0
2019-09-16,114.0
2019-09-17,87.0
2019-09-18,83.0
2019-09-19,88.0
2019-09-20,78.0
2019-09-21,164.0
2019-09-22,181.0
2019-09-23,100.0
2019-09-24,78.0
2019-09-25,70.0
2019-09-26,79.0
2019-09-27,75.0
2019-09-28,140.0
2019-09-29,197.0
2019-09-30,108.0
